"Materialnummer","Vorgangsfolge","Anzahl"
455,"0010",19
456,"0010 -> 0020",3
457,"0010 -> 0020",5
458,"0010 -> 0020",16
458,"0010",1
459,"0010 -> 0020",57
460,"0010",6
461,"0010",20
462,"0010 -> 0020",5
463,"0010 -> 0020",12
463,"0020",1
464,"0010 -> 0020 -> 0030",25
464,"0010 -> 0020",1
465,"0010 -> 0020 -> 0030",10
466,"0010",7
467,"0010 -> 0020 -> 0030",3
468,"0010 -> 0020 -> 0030",21
469,"0010 -> 0020 -> 0030",4
470,"0010",4
471,"0010 -> 0020 -> 0030",4
472,"0010 -> 0020 -> 0030",16
472,"0010 -> 0020",1
473,"0010 -> 0020 -> 0030",3
474,"0010",5
474,"0010 -> 0020",1
475,"0010 -> 0020 -> 0030",5
476,"0010 -> 0020 -> 0030",5
477,"0010 -> 0020 -> 0030",2
478,"0010 -> 0020 -> 0030",2
479,"0010 -> 0020 -> 0030",22
480,"0010 -> 0020 -> 0030",11
481,"0010",5
481,"0010 -> 0020",1
482,"0010 -> 0020 -> 0030",3
483,"0010 -> 0020 -> 0030",6
484,"0010",1
485,"0010 -> 0020 -> 0030",10
486,"0010 -> 0020 -> 0030",3
487,"0010 -> 0020 -> 0030",2
488,"0010",3
489,"0010",1
490,"0010",1
491,"0010",1
492,"0010 -> 0020",3
493,"0010 -> 0020",1
494,"0010",30
495,"0010",29
496,"0010",5
497,"0010",318
498,"0010",263
499,"0010",2
500,"0010",238
501,"0010",35
502,"0010 -> 0020",5
503,"0010",65
504,"0010",66
505,"0010",39
506,"0010",84
507,"0010",197
508,"0010",115
509,"0010",39
510,"0010",227
511,"0010",238
512,"0010",63
513,"0010",62
514,"0010",8
515,"0010",70
516,"0010",44
517,"0010",3
518,"0010",52
519,"0010",43
520,"0010",79
521,"0010",87
522,"0010",3
523,"0010",57
524,"0010",30
525,"0010",57
526,"0010",86
527,"0010",3
528,"0010 -> 0020",5
529,"0010",46
530,"0010",318
531,"0010",98
532,"0010",5
533,"0010",75
534,"0010",52
535,"0010",73
536,"0010",94
537,"0010",2
538,"0010",3
539,"0010",6
540,"0010",11
541,"0010",83
542,"0010",158
543,"0010",34
544,"0010",308
545,"0010",55
546,"0010",193
547,"0010",106
548,"0010",5
549,"0010 -> 0020",9
550,"0010 -> 0020",28
551,"0010 -> 0020",2
552,"0010 -> 0020",1
553,"0010 -> 0020",10
554,"0010 -> 0020",2
555,"0010",7
556,"0010",48
557,"0010",12
558,"0010",7
559,"0010",5
560,"0010",18
561,"0010 -> 0020",3
562,"0010",91
563,"0010",1
564,"0010",3
565,"0010",2
566,"0010",3
567,"0010",3
568,"0010",1
569,"0010",1
570,"0010",11
571,"0010",2
572,"0010",1
573,"0010",2
574,"0010",2
575,"0010",6
576,"0010",1
577,"0010",6
578,"0010",1
579,"0010",3
580,"0010",4
581,"0010",2
582,"0010",2
583,"0010",1
584,"0010",23
585,"0010",5
586,"0010",3
587,"0010",90
588,"0010",25
589,"0010",6
590,"0010",6
591,"0010",9
592,"0010",21
593,"0010",22
594,"0010",6
595,"0010",3
596,"0010",3
597,"0010",1
598,"0010",28
599,"0010",3
600,"0010",11
601,"0010",36
602,"0010",4
603,"0010",4
604,"0010",4
605,"0010",2
606,"0010",5
607,"0010",5
608,"0010",62
609,"0010",2
610,"0010",4
611,"0010",21
612,"0010",1
613,"0010",3
614,"0010 -> 0020",4
615,"0010 -> 0020",2
616,"0010",2
617,"0010",4
618,"0010",17
619,"0010",16
620,"0010",21
621,"0010",3
622,"0010",10
623,"0010",16
624,"0010",2
625,"0010",21
626,"0010",48
627,"0010",22
628,"0010",8
629,"0010",7
630,"0010",21
631,"0010",68
632,"0010",2
633,"0010",23
634,"0010",181
635,"0010",66
636,"0010",86
637,"0010",35
638,"0010",28
639,"0010",58
640,"0010",1
641,"0010",60
642,"0010",6
643,"0010",1
644,"0010",1
645,"0010",4
646,"0010",108
647,"0010",30
648,"0010",48
649,"0010",2
650,"0010",9
651,"0010",9
652,"0010",6
653,"0010",20
654,"0010",6
655,"0010",4
656,"0010",10
657,"0010",9
658,"0010",13
659,"0010",17
660,"0010",4
661,"0010",4
662,"0010",7
663,"0010",1
664,"0010",1
665,"0010",3
666,"0010",6
667,"0010",2
668,"0010",65
669,"0010 -> 0020",3
670,"0010 -> 0020",2
671,"0010",61
672,"0010",1
673,"0010",20
674,"0010",4
675,"0010",16
676,"0010",10
677,"0010",2
678,"0010",1118
679,"0010",8
680,"0010",5
681,"0010",5
682,"0010",116
683,"0010",107
684,"0010",15
685,"0010",164
686,"0010",2
687,"0010",432
688,"0010",472
689,"0010",104
690,"0010",3
691,"0010",140
692,"0010",5
693,"0010",348
694,"0010",23
695,"0010",8
696,"0010",35
697,"0010",1
698,"0010",15
699,"0010",303
700,"0010",93
701,"0010",85
702,"0010",1315
703,"0010",131
704,"0010",79
705,"0010",84
706,"0010",13
707,"0010",275
708,"0010",2
709,"0010",87
710,"0010",4
711,"0010",3
712,"0010",3
713,"0010",5
714,"0010",14
715,"0010",2
716,"0010",4
717,"0010",3
718,"0010",6
719,"0010",4
720,"0010",2
721,"0010",2
722,"0010",1
723,"0010",18
724,"0010",3
725,"0010",2
726,"0010",1
727,"0010",2
728,"0010",14
729,"0010",6
730,"0010",3
731,"0010",4
732,"0010",5
733,"0010",6
734,"0010",10
735,"0010",12
736,"0010",13
737,"0010",32
738,"0010",42
739,"0010",8
740,"0010",6
741,"0010",6
742,"0010",2
743,"0010",52
744,"0010",3
745,"0010",18
746,"0010",94
